Container	        CPU-usage(%)	Memory-usage(bytes)
rfsim5g-oai-du	0.0043461996669966	17010688.0
rfsim5g-oai-du	0.0046744522320223	17018880.0
rfsim5g-oai-du	0.0054510334128341	17035264.0
rfsim5g-oai-du	0.0057074280217802	17051648.0
rfsim5g-oai-du	0.0044567534002738	17063936.0
rfsim5g-oai-du	0.0055177118439068	17076224.0
rfsim5g-oai-du	0.0052327322911912	17092608.0
rfsim5g-oai-du	0.0051483117982656	17108992.0
rfsim5g-oai-du	0.0036467823879938	17125376.0
rfsim5g-oai-du	0.0053004036857205	17141760.0
rfsim5g-oai-du	0.0046512042595453	17149952.0
rfsim5g-oai-du	0.0056706952328404	17166336.0
rfsim5g-oai-du	0.0053146585678597	17178624.0
rfsim5g-oai-du	0.0049868221873411	17195008.0
rfsim5g-oai-du	0.0054420600888731	17207296.0
rfsim5g-oai-du	0.0049219261158888	17223680.0
rfsim5g-oai-du	0.0054331648795059	17235968.0
rfsim5g-oai-du	0.0046231609782196	17252352.0
rfsim5g-oai-du	0.0044694222083509	17264640.0
rfsim5g-oai-du	0.0056639703279309	17285120.0
rfsim5g-oai-du	0.0033534326979804	17293312.0
rfsim5g-oai-du	0.0066470280462899	17313792.0
rfsim5g-oai-du	0.0038416195597912	17321984.0
rfsim5g-oai-du	0.0049163734740185	17338368.0
rfsim5g-oai-du	0.0039749759217287	17350656.0
rfsim5g-oai-du	0.0046769991472746	17367040.0
rfsim5g-oai-du	0.0047467080088862	17379328.0
rfsim5g-oai-du	0.00508724522586	17395712.0
rfsim5g-oai-du	0.0050112621175504	17412096.0
rfsim5g-oai-du	0.0043192200538051	17428480.0
rfsim5g-oai-du	0.0040435318726916	17436672.0
rfsim5g-oai-du	0.004418745839223	17453056.0
rfsim5g-oai-du	0.0038193830907054	17465344.0
rfsim5g-oai-du	0.0041436123628219	17481728.0
rfsim5g-oai-du	0.0040096505711086	17494016.0
rfsim5g-oai-du	0.0051273267861142	17510400.0
rfsim5g-oai-du	0.0047689304281517	17526784.0
rfsim5g-oai-du	0.0040868179962769	17539072.0
rfsim5g-oai-du	0.0054655236952475	17559552.0
rfsim5g-oai-du	0.0047138387198062	17567744.0
rfsim5g-oai-du	0.0042778191884395	17584128.0
rfsim5g-oai-du	0.0052414935352541	17596416.0
rfsim5g-oai-du	0.0043942519908732	17612800.0
rfsim5g-oai-du	0.0060323805699713	17625088.0
rfsim5g-oai-du	0.0045215876715162	17641472.0
rfsim5g-oai-du	0.0047120624238663	17653760.0
rfsim5g-oai-du	0.0048072052448918	17670144.0
rfsim5g-oai-du	0.0045216616102415	17682432.0
rfsim5g-oai-du	0.0051557934236836	17698816.0
rfsim5g-oai-du	0.0048368534547878	17711104.0
rfsim5g-oai-du	0.0044589122195067	17731584.0
rfsim5g-oai-du	0.0036644858475894	17743872.0
rfsim5g-oai-du	0.0049485139329884	17756160.0
rfsim5g-oai-du	0.0058706732242378	17768448.0
rfsim5g-oai-du	0.0050079892310766	17784832.0
rfsim5g-oai-du	0.0043340375913137	17846272.0
rfsim5g-oai-du	0.006375294341894	17817600.0
rfsim5g-oai-du	0.0069499686329587	17825792.0
rfsim5g-oai-du	0.0053066192036739	17842176.0
rfsim5g-oai-du	0.0051394952291778	17854464.0
rfsim5g-oai-du	0.00604455030012	17870848.0
rfsim5g-oai-du	0.0057660126596092	17883136.0
rfsim5g-oai-du	0.0056889080650441	17899520.0
rfsim5g-oai-du	0.0053716442868056	17911808.0
rfsim5g-oai-du	0.0052169907961138	17928192.0
rfsim5g-oai-du	0.0050315149285253	17940480.0
rfsim5g-oai-du	0.0052355751539539	17956864.0
rfsim5g-oai-du	0.0048082636001867	17969152.0
rfsim5g-oai-du	0.0058983185102961	17989632.0
rfsim5g-oai-du	0.0048611160999479	18001920.0
rfsim5g-oai-du	0.0051680518315474	18014208.0
rfsim5g-oai-du	0.0053469354597557	18030592.0
rfsim5g-oai-du	0.005314619579687	18046976.0
rfsim5g-oai-du	0.0045453236366017	18059264.0
rfsim5g-oai-du	0.0059512349038692	18075648.0
rfsim5g-oai-du	0.0056784595290574	18092032.0
rfsim5g-oai-du	0.0053113200487103	18100224.0
rfsim5g-oai-du	0.0063008516993247	18116608.0
rfsim5g-oai-du	0.0050278936344514	18128896.0
rfsim5g-oai-du	0.0056677167718365	18149376.0
rfsim5g-oai-du	0.0048740656524168	18157568.0
rfsim5g-oai-du	0.0042765033351953	18178048.0
rfsim5g-oai-du	0.0058504148785857	18186240.0
rfsim5g-oai-du	0.0056647952880097	18202624.0
rfsim5g-oai-du	0.0046379841717546	18214912.0
rfsim5g-oai-du	0.0046249920692858	18231296.0
rfsim5g-oai-du	0.005055827216618	18243584.0
rfsim5g-oai-du	0.0051911788226705	18264064.0
rfsim5g-oai-du	0.0051543632963631	18276352.0
rfsim5g-oai-du	0.0044077968467887	18292736.0
rfsim5g-oai-du	0.0053469701444415	18305024.0
rfsim5g-oai-du	0.0057836564353881	18325504.0
rfsim5g-oai-du	0.0040197478032787	18333696.0
rfsim5g-oai-du	0.0057542658688524	18350080.0
rfsim5g-oai-du	0.0065150208196721	18362368.0
rfsim5g-oai-du	0.0039719679672131	18378752.0
rfsim5g-oai-du	0.0043373388036512	18395136.0
rfsim5g-oai-du	0.0038196341360782	18407424.0
rfsim5g-oai-du	0.0044325979154528	18419712.0
rfsim5g-oai-du	0.0050616177574933	18436096.0
rfsim5g-oai-du	0.0047115559305583	18452480.0
rfsim5g-oai-du	0.0047177405201508	18464768.0
rfsim5g-oai-du	0.0050052998257339	18481152.0
rfsim5g-oai-du	0.0046643156199677	18493440.0
rfsim5g-oai-du	0.0041191552903358	18518016.0
rfsim5g-oai-du	0.0048936529307161	18526208.0
rfsim5g-oai-du	0.0059133046645236	18538496.0
rfsim5g-oai-du	0.0053636144586553	18550784.0
rfsim5g-oai-du	0.0048566811755101	18571264.0
rfsim5g-oai-du	0.0044980584163265	18583552.0
rfsim5g-oai-du	0.0039305854367347	18595840.0
rfsim5g-oai-du	0.0066535120653061	18612224.0
rfsim5g-oai-du	0.0045217918141812	18624512.0
rfsim5g-oai-du	0.004502375641068	18636800.0
rfsim5g-oai-du	0.0040945476292889	18653184.0
rfsim5g-oai-du	0.0059125200013235	18665472.0
rfsim5g-oai-du	0.0043332246293054	18681856.0
rfsim5g-oai-du	0.0045499460717941	18694144.0
rfsim5g-oai-du	0.0036461666721706	18710528.0
rfsim5g-oai-du	0.0058141275717446	18726912.0
rfsim5g-oai-du	0.0037398868411512	18739200.0
rfsim5g-oai-du	0.004439931271982	18788352.0
rfsim5g-oai-du	0.0039297397910301	18804736.0
rfsim5g-oai-du	0.0045149466350237	18817024.0
rfsim5g-oai-du	0.0064704297899599	18833408.0
rfsim5g-oai-du	0.0040749375948215	18845696.0
rfsim5g-oai-du	0.0062144487711135	18866176.0
rfsim5g-oai-du	0.0047722756481575	18874368.0
rfsim5g-oai-du	0.0059753453335942	18894848.0
rfsim5g-oai-du	0.004844050544577	18911232.0
rfsim5g-oai-du	0.0050106402204396	18919424.0
rfsim5g-oai-du	0.0052358130828931	18931712.0
rfsim5g-oai-du	0.0061747370898468	18952192.0
rfsim5g-oai-du	0.0039599670298753	18968576.0
rfsim5g-oai-du	0.0035819745398868	18976768.0
rfsim5g-oai-du	0.0037638534627329	18997248.0
