Connecting to host 192.168.30.3, port 5201
Reverse mode, remote host 192.168.30.3 is sending
[  5] local 192.168.30.5 port 34019 connected to 192.168.30.3 port 5201
[ ID] Interval           Transfer     Bitrate         Jitter    Lost/Total Datagrams
[  5]  95.00-96.00  sec  17.0 KBytes   139 Kbits/sec  0.059 ms  0/12 (0%)  
[  5]  96.00-97.00  sec  15.6 KBytes   127 Kbits/sec  0.052 ms  0/11 (0%)  
[  5]  97.00-98.00  sec  15.6 KBytes   127 Kbits/sec  0.041 ms  0/11 (0%)  
[  5]  98.00-99.00  sec  17.0 KBytes   139 Kbits/sec  0.053 ms  0/12 (0%)  
[  5]  99.00-100.00 sec  15.6 KBytes   127 Kbits/sec  0.069 ms  0/11 (0%)  
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bitrate         Jitter    Lost/Total Datagrams
[  5]   0.00-100.00 sec  1.53 MBytes   128 Kbits/sec  0.000 ms  0/1108 (0%)  sender
[  5]   0.00-100.00 sec  1.53 MBytes   128 Kbits/sec  0.069 ms  0/1108 (0%)  receiver

iperf Done.
