Container	Memory-usage(MiB)
rfsim5g-oai-cucp	20348928
rfsim5g-oai-cucp	20365312
rfsim5g-oai-cucp	20258816
rfsim5g-oai-cucp	20271104
rfsim5g-oai-cucp	20410368
rfsim5g-oai-cucp	20422656
rfsim5g-oai-cucp	20312064
rfsim5g-oai-cucp	20328448
rfsim5g-oai-cucp	20344832
rfsim5g-oai-cucp	20357120
rfsim5g-oai-cucp	20373504
rfsim5g-oai-cucp	20385792
rfsim5g-oai-cucp	20398080
rfsim5g-oai-cucp	20537344
rfsim5g-oai-cucp	20430848
rfsim5g-oai-cucp	20439040
rfsim5g-oai-cucp	20582400
rfsim5g-oai-cucp	20471808
rfsim5g-oai-cucp	20484096
rfsim5g-oai-cucp	20500480
rfsim5g-oai-cucp	20516864
rfsim5g-oai-cucp	20529152
rfsim5g-oai-cucp	20545536
rfsim5g-oai-cucp	20557824
rfsim5g-oai-cucp	20574208
rfsim5g-oai-cucp	20586496
rfsim5g-oai-cucp	20602880
rfsim5g-oai-cucp	20615168
rfsim5g-oai-cucp	20631552
rfsim5g-oai-cucp	20643840
rfsim5g-oai-cucp	20660224
rfsim5g-oai-cucp	20672512
rfsim5g-oai-cucp	20688896
rfsim5g-oai-cucp	20705280
rfsim5g-oai-cucp	20717568
rfsim5g-oai-cucp	20729856
rfsim5g-oai-cucp	20742144
rfsim5g-oai-cucp	20762624
rfsim5g-oai-cucp	20774912
rfsim5g-oai-cucp	20791296
rfsim5g-oai-cucp	20799488
rfsim5g-oai-cucp	20815872
rfsim5g-oai-cucp	20828160
rfsim5g-oai-cucp	20848640
rfsim5g-oai-cucp	20856832
rfsim5g-oai-cucp	20877312
rfsim5g-oai-cucp	20889600
rfsim5g-oai-cucp	20901888
rfsim5g-oai-cucp	20918272
rfsim5g-oai-cucp	20930560
rfsim5g-oai-cucp	20946944
rfsim5g-oai-cucp	20963328
rfsim5g-oai-cucp	20971520
rfsim5g-oai-cucp	20987904
rfsim5g-oai-cucp	21000192
rfsim5g-oai-cucp	21020672
rfsim5g-oai-cucp	21032960
rfsim5g-oai-cucp	21049344
rfsim5g-oai-cucp	21061632
rfsim5g-oai-cucp	21078016
rfsim5g-oai-cucp	21086208
rfsim5g-oai-cucp	21106688
rfsim5g-oai-cucp	21118976
rfsim5g-oai-cucp	21135360
rfsim5g-oai-cucp	21143552
rfsim5g-oai-cucp	21168128
rfsim5g-oai-cucp	21184512
rfsim5g-oai-cucp	21196800
rfsim5g-oai-cucp	21213184
rfsim5g-oai-cucp	21225472
rfsim5g-oai-cucp	21241856
rfsim5g-oai-cucp	21254144
rfsim5g-oai-cucp	21393408
rfsim5g-oai-cucp	21282816
rfsim5g-oai-cucp	21299200
rfsim5g-oai-cucp	21307392
rfsim5g-oai-cucp	21450752
rfsim5g-oai-cucp	21340160
rfsim5g-oai-cucp	21352448
rfsim5g-oai-cucp	21368832
rfsim5g-oai-cucp	21385216
rfsim5g-oai-cucp	21393408
rfsim5g-oai-cucp	21409792
rfsim5g-oai-cucp	21426176
rfsim5g-oai-cucp	21442560
rfsim5g-oai-cucp	21454848
rfsim5g-oai-cucp	21471232
rfsim5g-oai-cucp	21483520
rfsim5g-oai-cucp	21499904
rfsim5g-oai-cucp	21512192
rfsim5g-oai-cucp	21528576
rfsim5g-oai-cucp	21536768
rfsim5g-oai-cucp	21557248
rfsim5g-oai-cucp	21569536
rfsim5g-oai-cucp	21585920
rfsim5g-oai-cucp	21598208
rfsim5g-oai-cucp	21614592
rfsim5g-oai-cucp	21626880
rfsim5g-oai-cucp	21643264
rfsim5g-oai-cucp	21659648
rfsim5g-oai-cucp	21671936
rfsim5g-oai-cucp	21688320
rfsim5g-oai-cucp	21823488
rfsim5g-oai-cucp	21716992
rfsim5g-oai-cucp	21725184
rfsim5g-oai-cucp	21745664
rfsim5g-oai-cucp	21880832
rfsim5g-oai-cucp	21778432
rfsim5g-oai-cucp	21909504
rfsim5g-oai-cucp	21803008
rfsim5g-oai-cucp	21815296
rfsim5g-oai-cucp	21831680
rfsim5g-oai-cucp	21843968
rfsim5g-oai-cucp	21856256
rfsim5g-oai-cucp	22024192
rfsim5g-oai-cucp	21889024
rfsim5g-oai-cucp	21905408
rfsim5g-oai-cucp	22044672
rfsim5g-oai-cucp	21929984
rfsim5g-oai-cucp	22073344
rfsim5g-oai-cucp	21962752
rfsim5g-oai-cucp	21979136
rfsim5g-oai-cucp	21991424
rfsim5g-oai-cucp	22007808
rfsim5g-oai-cucp	22016000
rfsim5g-oai-cucp	22036480
rfsim5g-oai-cucp	22048768
