Container	Memory-usage(MiB)
rfsim5g-oai-cuup	20963328
rfsim5g-oai-cuup	20971520
rfsim5g-oai-cuup	20987904
rfsim5g-oai-cuup	21000192
rfsim5g-oai-cuup	21020672
rfsim5g-oai-cuup	21032960
rfsim5g-oai-cuup	21049344
rfsim5g-oai-cuup	21061632
rfsim5g-oai-cuup	21078016
rfsim5g-oai-cuup	21086208
rfsim5g-oai-cuup	21106688
rfsim5g-oai-cuup	21118976
rfsim5g-oai-cuup	21135360
rfsim5g-oai-cuup	21143552
rfsim5g-oai-cuup	21168128
rfsim5g-oai-cuup	21184512
rfsim5g-oai-cuup	21196800
rfsim5g-oai-cuup	21213184
rfsim5g-oai-cuup	21225472
rfsim5g-oai-cuup	21241856
rfsim5g-oai-cuup	21254144
rfsim5g-oai-cuup	21393408
rfsim5g-oai-cuup	21282816
rfsim5g-oai-cuup	21299200
rfsim5g-oai-cuup	21307392
rfsim5g-oai-cuup	21450752
rfsim5g-oai-cuup	21340160
rfsim5g-oai-cuup	21352448
rfsim5g-oai-cuup	21368832
rfsim5g-oai-cuup	21385216
rfsim5g-oai-cuup	21393408
rfsim5g-oai-cuup	21409792
rfsim5g-oai-cuup	21426176
rfsim5g-oai-cuup	21442560
rfsim5g-oai-cuup	21454848
rfsim5g-oai-cuup	21471232
rfsim5g-oai-cuup	21483520
rfsim5g-oai-cuup	21499904
rfsim5g-oai-cuup	21512192
rfsim5g-oai-cuup	21528576
rfsim5g-oai-cuup	21536768
rfsim5g-oai-cuup	21557248
rfsim5g-oai-cuup	21569536
rfsim5g-oai-cuup	21585920
rfsim5g-oai-cuup	21598208
rfsim5g-oai-cuup	21614592
rfsim5g-oai-cuup	21626880
rfsim5g-oai-cuup	21643264
rfsim5g-oai-cuup	21659648
rfsim5g-oai-cuup	21671936
rfsim5g-oai-cuup	21688320
rfsim5g-oai-cuup	21823488
rfsim5g-oai-cuup	21716992
rfsim5g-oai-cuup	21725184
rfsim5g-oai-cuup	21745664
rfsim5g-oai-cuup	21880832
rfsim5g-oai-cuup	21778432
rfsim5g-oai-cuup	21909504
rfsim5g-oai-cuup	21803008
rfsim5g-oai-cuup	21815296
rfsim5g-oai-cuup	21831680
rfsim5g-oai-cuup	21843968
rfsim5g-oai-cuup	21856256
rfsim5g-oai-cuup	22024192
rfsim5g-oai-cuup	21889024
rfsim5g-oai-cuup	21905408
rfsim5g-oai-cuup	22044672
rfsim5g-oai-cuup	21929984
rfsim5g-oai-cuup	22073344
rfsim5g-oai-cuup	21962752
rfsim5g-oai-cuup	21979136
rfsim5g-oai-cuup	21991424
rfsim5g-oai-cuup	22007808
rfsim5g-oai-cuup	22016000
rfsim5g-oai-cuup	22036480
rfsim5g-oai-cuup	22048768
