Container	            CPU-usage(%)	Memory-usage(bytes)
rfsim5g-oai-cuup	0.0012752862114248	14151680.0
rfsim5g-oai-cuup	0.0002406785292186	14168064.0
rfsim5g-oai-cuup	0.0005522265922521	14180352.0
rfsim5g-oai-cuup	0.0006126788721496	14196736.0
rfsim5g-oai-cuup	0.0006334000955805	14209024.0
rfsim5g-oai-cuup	0.0005359840016385	14225408.0
rfsim5g-oai-cuup	0.0008752836921396	14237696.0
rfsim5g-oai-cuup	0.0006133104326847	14258176.0
rfsim5g-oai-cuup	0.000633791368853	14266368.0
rfsim5g-oai-cuup	0.0001140199319068	14282752.0
rfsim5g-oai-cuup	0.00123141999053	14295040.0
rfsim5g-oai-cuup	0.000227503844688	14311424.0
rfsim5g-oai-cuup	0.0002401802856054	14323712.0
rfsim5g-oai-cuup	0.001149544107427	14344192.0
rfsim5g-oai-cuup	0.0018810741139282	14352384.0
rfsim5g-oai-cuup	0.001161035912755	14368768.0
rfsim5g-oai-cuup	0.0001520788762712	14381056.0
rfsim5g-oai-cuup	0.0005645472137412	14397440.0
rfsim5g-oai-cuup	0.0006250554176642	14540800.0
rfsim5g-oai-cuup	0.0007586879671892	14426112.0
rfsim5g-oai-cuup	0.0002414805627218	14442496.0
rfsim5g-oai-cuup	0.0004576958170712	14454784.0
rfsim5g-oai-cuup	0.0012816907896187	14471168.0
rfsim5g-oai-cuup	0.0006857965610382	14487552.0
rfsim5g-oai-cuup	0.0011867381689614	14499840.0
rfsim5g-oai-cuup	0.0012738049278608	14516224.0
rfsim5g-oai-cuup	7.9858159299e-05	14532608.0
rfsim5g-oai-cuup	0.0002508545957717	14540800.0
rfsim5g-oai-cuup	0.0003229708057345	14561280.0
rfsim5g-oai-cuup	0.0013490668042827	14573568.0
rfsim5g-oai-cuup	0.0028736801560656	14585856.0
rfsim5g-oai-cuup	0.0012358148294829	14598144.0
rfsim5g-oai-cuup	0.0009413239383938	14614528.0
rfsim5g-oai-cuup	0.0007453143894389	14630912.0
rfsim5g-oai-cuup	0.0003337446644664	14647296.0
rfsim5g-oai-cuup	0.0011386991479473	14655488.0
rfsim5g-oai-cuup	0.0002547565342481	14671872.0
rfsim5g-oai-cuup	0.0006013949098152	14684160.0
rfsim5g-oai-cuup	0.0012988385083545	14704640.0
rfsim5g-oai-cuup	0.0004331336035093	14716928.0
rfsim5g-oai-cuup	0.0002838841212228	14733312.0
rfsim5g-oai-cuup	0.0016475781469193	14745600.0
rfsim5g-oai-cuup	0.0010276411632412	14757888.0
rfsim5g-oai-cuup	0.001614797254054	14770176.0
rfsim5g-oai-cuup	4.18438054053e-05	14786560.0
rfsim5g-oai-cuup	0.0011980363675675	14798848.0
rfsim5g-oai-cuup	2.91384432432e-05	14815232.0
rfsim5g-oai-cuup	0.0003593386606818	14831616.0
rfsim5g-oai-cuup	0.000880936026478	14843904.0
rfsim5g-oai-cuup	0.001451805880486	14864384.0
rfsim5g-oai-cuup	0.0006564355957562	14880768.0
rfsim5g-oai-cuup	0.0002805114456634	14893056.0
rfsim5g-oai-cuup	0.0013067452153373	14905344.0
rfsim5g-oai-cuup	0.0010451138826957	14921728.0
rfsim5g-oai-cuup	0.0006814397916161	14934016.0
rfsim5g-oai-cuup	0.0004237340646828	14950400.0
rfsim5g-oai-cuup	9.11836475508e-05	14962688.0
rfsim5g-oai-cuup	0.0025509673520331	14983168.0
rfsim5g-oai-cuup	0.0002565753574635	14991360.0
rfsim5g-oai-cuup	0.0007680208134297	15011840.0
rfsim5g-oai-cuup	0.0006841236294981	15020032.0
rfsim5g-oai-cuup	0.0003253102907056	15036416.0
rfsim5g-oai-cuup	0.000954071652791	15048704.0
rfsim5g-oai-cuup	0.0009808207593142	15065088.0
rfsim5g-oai-cuup	0.0005799495857883	15077376.0
rfsim5g-oai-cuup	0.0004779620121384	15093760.0
rfsim5g-oai-cuup	0.0010788724360962	15110144.0
